rule,hit_ratio,lift,coverage,n_events_match,support_real,base_rate
vol_66 > 0.02392 AND vol_22 > 0.02281 AND deliv_qty_trend <= 1.407,0.6514888503137936,4.343641570225914,0.46210528309749765,24395,37445.0,0.14998678868429502
vol_66 <= 0.02392 AND ret_22d > 0.08955 AND n_strong_deliv_22 <= 1.5,0.6349514563106796,4.233382565761706,0.030971188270727965,1635,2575.0,0.14998678868429502
vol_66 > 0.02392 AND vol_22 > 0.02281 AND deliv_qty_trend > 1.407,0.39453876160650514,2.6304900922771535,0.13602697429486085,7181,18201.0,0.14998678868429502
vol_66 > 0.02392 AND vol_22 <= 0.02281 AND ret_22d <= 0.06018,0.22547494460943762,1.5032987010878438,0.09060256483112651,4783,21213.0,0.14998678868429502
vol_66 <= 0.02392 AND ret_22d <= 0.08955 AND vol_66 > 0.01876,0.1315363971262356,0.8769865551498981,0.14947623647970298,7891,59991.0,0.14998678868429502
vol_66 <= 0.02392 AND ret_22d <= 0.08955 AND vol_66 <= 0.01876,0.022859790709348574,0.15241202848516086,0.08971226155973556,4736,207176.0,0.14998678868429502
