rebalance_date,sector,weight
2019-10-01,Nifty Financial Services,0.2857
2019-10-01,Nifty IT,0.2381
2019-10-01,Nifty Private Bank,0.1905
2019-10-01,Nifty Realty,0.1429
2019-10-01,Nifty Energy,0.0952
2019-10-01,Nifty Bank,0.0476
2020-01-01,Nifty Realty,0.2857
2020-01-01,Nifty Financial Services,0.2381
2020-01-01,Nifty Bank,0.1905
2020-01-01,Nifty Private Bank,0.1429
2020-01-01,Nifty IT,0.0952
2020-01-01,Nifty Energy,0.0476
2020-04-01,Nifty Pharma,0.2857
2020-04-01,Nifty FMCG,0.2381
2020-04-01,Nifty IT,0.1905
2020-04-01,Nifty Financial Services,0.1429
2020-04-01,Nifty Realty,0.0952
2020-04-01,Nifty Energy,0.0476
2020-07-01,Nifty FMCG,0.3
2020-07-01,Nifty Pharma,0.3
2020-07-01,Nifty IT,0.2667
2020-07-01,Nifty Energy,0.1333
2020-10-01,Nifty Energy,0.3
2020-10-01,Nifty IT,0.3
2020-10-01,Nifty Pharma,0.3
2021-01-01,Nifty Consumer Durables,0.3
2021-01-01,Nifty IT,0.3
2021-01-01,Nifty Bank,0.2667
2021-01-01,Nifty Pharma,0.1333
2021-04-01,Nifty IT,0.3
2021-04-01,Nifty Consumer Durables,0.3
2021-04-01,Nifty Bank,0.3
2021-07-01,Nifty Bank,0.3
2021-07-01,Nifty Consumer Durables,0.3
2021-07-01,Nifty IT,0.3
2021-10-01,Nifty Media,0.3
2021-10-01,Nifty Realty,0.3
2021-10-01,Nifty IT,0.2667
2021-10-01,Nifty Consumer Durables,0.1333
2022-01-03,Nifty IT,0.3
2022-01-03,Nifty Realty,0.3
2022-01-03,Nifty Consumer Durables,0.2667
2022-01-03,Nifty Media,0.1333
2022-04-01,Nifty Energy,0.25
2022-04-01,Nifty PSU Bank,0.2143
2022-04-01,Nifty Metal,0.1786
2022-04-01,Nifty Media,0.1429
2022-04-01,Nifty IT,0.1071
2022-04-01,Nifty Consumer Durables,0.0714
2022-04-01,Nifty Realty,0.0357
2022-07-01,Nifty PSU Bank,0.3
2022-07-01,Nifty Energy,0.3
2022-07-01,Nifty Metal,0.2667
2022-07-01,Nifty Media,0.1333
2022-10-03,Nifty Energy,0.3
2022-10-03,Nifty PSU Bank,0.3
