split,rule,train_lift,train_hit,train_cov,train_n,test_lift,test_hit,test_cov,test_n,te_n,te_avg_ret_22,te_avg_ret_66,te_avg_ret_132,te_median_ret_66,te_win_rate_66,te_avg_mfe_6m,te_avg_mae_6m,te_big50_6m_rate,te_big100_12m_rate
T12-19→2020-26,vol_66 <= 0.02818 AND close_vs_sma20 > 0.0614 AND n_strong_deliv_22 <= 0.5,15.777239776002764,0.6048632218844985,0.04285099052540913,199,15.319497125726754,0.7248968363136176,0.05807802512673573,527,527,0.17008953461167156,0.22451830424371766,0.32495379487207665,0.1636925734583412,0.7229601518026565,0.583732089721827,-0.05239411984695171,0.4537987679671458,0.30603448275862066
T12-19→2020-26,vol_66 > 0.02818 AND vol_z_1d > 0.02026 AND deliv_per_22 <= 51.51,15.22251159530156,0.583596214511041,0.1991817398794143,925,11.94834907042999,0.5653789004457652,0.16773198148556315,1522,1522,0.18126684966644702,0.23768012353301143,0.30665326442189084,0.16767851980341142,0.6491458607095927,0.5889598841620064,-0.05981113178840939,0.4674329501915709,0.319570602807597
T12-19→2020-26,vol_66 > 0.02818 AND vol_z_1d <= 0.02026 AND deliv_per_22 <= 37.73,9.557959328287549,0.3664302600472813,0.16688199827734712,775,9.887467359467747,0.4678609062170706,0.09786202336345602,888,888,0.15741458511670267,0.21710308546383422,0.3027608410423517,0.12568244498227044,0.6283783783783784,0.5803881018181953,-0.08277144161107755,0.4326424870466321,0.32038834951456313
T12-19→2020-26,vol_66 > 0.02818 AND vol_z_1d > 0.02026 AND deliv_per_22 > 51.51,6.762513159153985,0.25925925925925924,0.04974160206718346,231,7.837109704025289,0.37084089534180276,0.0675556535155389,613,613,0.20614768841339315,0.30360767694197,0.4116643155061902,0.24704005762877712,0.734094616639478,0.716605997493966,-0.04870425521823307,0.5623869801084991,0.4042145593869732
T12-19→2020-26,vol_66 <= 0.02818 AND close_vs_sma20 > 0.0614 AND n_strong_deliv_22 > 0.5,4.455472422555611,0.17081260364842454,0.044358311800172266,206,8.309714515600959,0.3932038834951456,0.035706413929909635,324,324,0.17365118018431944,0.2473973632083881,0.35500713898301045,0.18406593406593408,0.7561728395061729,0.5822984350628699,-0.037824932364537385,0.46511627906976744,0.3333333333333333
T12-19→2020-26,vol_66 > 0.02818 AND vol_z_1d <= 0.02026 AND deliv_per_22 > 37.73,3.397887337970155,0.1302672147995889,0.21834625322997417,1014,4.279088899513805,0.20248040651106708,0.2590919109543751,2351,2351,0.16973379356800775,0.229805167289188,0.34506464178748436,0.16146993318485525,0.6643981284559762,0.6280924213498932,-0.07248811951301834,0.49047619047619045,0.3681515616999488
T12-19→2020-26,vol_66 <= 0.02818 AND close_vs_sma20 <= 0.0614 AND vol_66 > 0.02323,1.6593811009340373,0.0636168691922802,0.13415159345391903,623,1.9017876384554544,0.08998988877654196,0.15693189332157814,1424,1424,0.16615441396166403,0.21585980415438857,0.3187845461896025,0.1615384615384614,0.6551966292134831,0.56091916688334,-0.056991160332472784,0.4289256198347107,0.2904676258992806
T12-19→2020-26,vol_66 <= 0.02818 AND close_vs_sma20 <= 0.0614 AND vol_66 <= 0.02323,0.17963841209880804,0.006886925105972432,0.14448751076658053,671,0.19238522336184521,0.009103395406778037,0.1570420983028433,1425,1425,0.14173331919599494,0.1775699068600115,0.2634279519216438,0.12777074871085348,0.6947368421052632,0.4864324897113656,-0.061977534848215866,0.35445068163592625,0.2693014705882353
T20-26→2012-19,vol_22 > 0.02518 AND dist_high_22 > -0.03026 AND n_strong_deliv_22 <= 1.5,15.905676046222887,0.7526339899221255,0.1810667842186467,1643,15.153141647504452,0.5809367296631059,0.15223944875107664,707,707,0.17036584452986742,0.1897231898798978,0.22149367317171875,0.10319279255759783,0.6449787835926449,0.6082079943799968,-0.145674502855635,0.4165477888730385,0.2615606936416185
T20-26→2012-19,vol_22 > 0.02518 AND dist_high_22 <= -0.03026 AND deliv_per_22 <= 47.05,7.929466281109274,0.37521107733873693,0.24487546837117039,2222,6.3372282609866515,0.24295481073870268,0.3137381567614126,1457,1457,0.13823667478912266,0.1151380355438058,0.09375829357670684,0.06268581753904323,0.5827041866849691,0.4972472421552442,-0.1949842097573151,0.3356741573033708,0.1984126984126984
