rule,hit_ratio,lift,coverage,n_events_match,support_real,base_rate
ret_1d > -0.008676 AND ret_22d <= 0.02017 AND ret_1d > -0.002328,0.8314225053078557,1.5528584756233217,0.10486570441582091,3916,4710.0,0.5354142173027844
ret_1d > -0.008676 AND ret_22d > 0.02017 AND range_tight_22 <= 0.09597,0.747086247086247,1.3953425645844573,0.03433039659373912,1282,1716.0,0.5354142173027844
ret_1d > -0.008676 AND ret_22d <= 0.02017 AND ret_1d <= -0.002328,0.6417864790455797,1.1986728374129825,0.05618188147711753,2098,3269.0,0.5354142173027844
ret_1d > -0.008676 AND ret_22d > 0.02017 AND range_tight_22 > 0.09597,0.6345186273955565,1.1850985776807028,0.3005650322684305,11224,17689.0,0.5354142173027844
ret_1d <= -0.008676 AND ret_5d > -0.0371 AND ret_1d > -0.01529,0.5844614479105356,1.09160614160534,0.0797739870926278,2979,5097.0,0.5354142173027844
ret_1d <= -0.008676 AND ret_5d > -0.0371 AND ret_1d <= -0.01529,0.506067534294759,0.9451888237935426,0.15411188174490534,5755,11372.0,0.5354142173027844
ret_1d <= -0.008676 AND ret_5d <= -0.0371 AND dist_high_22 > -0.09713,0.46277322404371585,0.8643274853159362,0.07257049513965134,2710,5856.0,0.5354142173027844
ret_1d <= -0.008676 AND ret_5d <= -0.0371 AND dist_high_22 <= -0.09713,0.36826870289963565,0.6878201792153279,0.19760062126770747,7379,20037.0,0.5354142173027844
