feature,importance
vol_66,0.17810370020411462
vol_22,0.14175962492676214
atr14_pct,0.11024940457224709
range_tight_66,0.10249547940707758
range_tight_22,0.06248509309801689
dist_low_252,0.03810937591337208
close_vs_sma200,0.03755289747197708
ret_1d,0.034352580056573864
ret_22d,0.030815960711029267
close_vs_sma50,0.02309311203948838
sma50_slope,0.021685785304915665
ret_132d,0.01883303614612836
ret_10d,0.015881246864974434
ret_66d,0.013754613376145688
close_vs_sma20,0.013547715725852524
n_strong_deliv_22,0.013507659234287527
deliv_per_22,0.013008734528919836
ret_252d,0.012039810563491186
sma50_vs_sma200,0.011897802693954235
deliv_qty_trend,0.01135849076365661
dist_high_66,0.011127267576317245
ret_5d,0.010762280759312166
trades_trend,0.009118214739766017
vol_ratio_22_66,0.008974233385556632
deliv_val_trend,0.007082964259340878
consec_up,0.005421119358961263
dist_high_22,0.004845919582101367
deliv_per_s,0.004577338869494211
vol_ratio,0.004033584162819213
turnover_surge_raw,0.0037456243807004025
vol_dryup_5_22,0.003424327897688945
range_pos_252,0.002919768558784744
hist_len,0.002445248445249636
nr_ratio_10_60,0.0022673456665345264
updown_vol_22,0.002129160635481427
dist_high_252,0.001755870646561717
dist_high_all,0.0017496366885388932
deliv_updown_22,0.0017471192471369445
deliv_trend,0.00144731465742524
vol_z_1d,0.0013009128627619981
atr_contraction,0.0008719832866444556
log_price,0.0008637702995987314
avg_trade_val_trend,0.0006922861780709046
gap_1d,0.0006743905287179352
up_frac_22,0.0003989610357239371
close_strength_5,0.00039623925413560747
deliv_per_pctile,0.00027383287618649527
vol_pctile_252,0.00020750354429039183
big_deliv_days_10,0.00015049179052021948
new_high_22,6.31652225927738e-05
