split,rule,train_lift,train_hit,train_cov,train_n,test_lift,test_hit,test_cov,test_n,te_n,te_avg_ret_22,te_avg_ret_66,te_avg_ret_132,te_median_ret_66,te_win_rate_66,te_avg_mfe_6m,te_avg_mae_6m,te_big50_6m_rate,te_big100_12m_rate
T12-19→2020-26,ret_22d > 0.07303 AND vol_ratio_22_66 <= 1.477 AND range_tight_22 > 0.0962,6.344670219719846,0.6765799256505576,0.26177633944624235,3640,7.072563924959285,0.7987146841275615,0.28321437784848225,6587,6587,0.1988885717267959,0.2756934645867307,0.3938361619678647,0.22289972899729005,0.8235919234856536,0.6155835775553764,-0.06262673571710019,0.4920870425321464,0.34236453201970446
T12-19→2020-26,ret_22d <= 0.07303 AND vol_66 > 0.0243 AND ret_1d <= -0.02186,3.9796425762368477,0.42437923250564336,0.13520316432937793,1880,4.711694700187164,0.5320983711274353,0.14326253332186775,3332,3332,0.15776717302520357,0.2434286189677953,0.33511557456620217,0.1945808905086357,0.7704081632653061,0.5657261153028059,-0.08955390959070954,0.44316253817441464,0.3104445247560535
T12-19→2020-26,ret_22d > 0.07303 AND vol_ratio_22_66 > 1.477 AND close_vs_sma20 > 0.08197,3.6051399626573075,0.38444320089535533,0.0494066882416397,687,4.791483084337682,0.5411089866156787,0.04867142488606071,1132,1132,0.22310843345952802,0.31265253263120163,0.4629494625015573,0.23133413595263552,0.8065371024734982,0.7340780878206271,-0.07408360102383162,0.5687984496124031,0.4072164948453608
T12-19→2020-26,ret_22d <= 0.07303 AND vol_66 > 0.0243 AND ret_1d > -0.02186,1.7937275526199201,0.1912786657400973,0.15836030204962243,2202,1.7622680724562838,0.199015435105892,0.1668673144724396,3881,3881,0.17310286521603074,0.2444339445847813,0.34005424657253697,0.18994138444579012,0.7799536202009791,0.5830173835059316,-0.08890757972665957,0.45153933865450396,0.3140726933830382
T12-19→2020-26,ret_22d <= 0.07303 AND vol_66 <= 0.0243 AND ret_1d <= -0.02182,1.6283697610279466,0.17364532019704434,0.10140237324703344,1410,1.5733756470477043,0.1776835453562817,0.09188236305787256,2137,2137,0.13116810835730047,0.17859293633247633,0.262122224901467,0.1565900585694856,0.7693027608797379,0.4142377720572923,-0.06574919433302139,0.2948863636363636,0.19011882426516574
T12-19→2020-26,ret_22d > 0.07303 AND vol_ratio_22_66 > 1.477 AND close_vs_sma20 <= 0.08197,1.4264627280198436,0.15211445402903429,0.05199568500539374,723,2.6143506476598404,0.29524232992441085,0.057098632728523516,1328,1328,0.19445501002436008,0.25795692848544793,0.3744345897796702,0.19062165238960216,0.7929216867469879,0.6133360901007611,-0.07627001646413274,0.48932676518883417,0.3776595744680851
T12-19→2020-26,ret_22d <= 0.07303 AND vol_66 <= 0.0243 AND ret_1d > -0.02182,0.321449743035305,0.03427860483075207,0.22984537935994245,3196,0.263011978099816,0.029702316053787953,0.19326683291770574,4495,4495,0.1321790651237708,0.17651701489593058,0.2556041715094094,0.1501950106703951,0.8091212458286986,0.4111344125149889,-0.06618897020257271,0.2849355797819623,0.18896976483762598
T20-26→2012-19,ret_22d > 0.08008 AND deliv_qty_trend <= 1.519 AND range_tight_22 > 0.09508,6.953839302540651,0.7853069439785307,0.301960615702124,7023,5.680045985573228,0.6057060426350377,0.27177274361740383,3779,3779,0.19167034075955025,0.23061544841947937,0.2707379004403605,0.18358090486449719,0.8258798623974597,0.5384072714033428,-0.09684238708110021,0.3975420785466204,0.24240780911062906
T20-26→2012-19,ret_22d <= 0.08008 AND vol_22 > 0.02342 AND ret_1d <= -0.03109,5.4570614291983786,0.6162736939435969,0.11462722504084616,2666,4.158030943017919,0.4434021263289556,0.101977705861201,1418,1418,0.16068084282969777,0.1604374604478244,0.16475638249597369,0.12828744289418448,0.7609308885754584,0.46629383289911935,-0.15411078707805376,0.321173104434907,0.18700361010830324
T20-26→2012-19,ret_22d > 0.08008 AND deliv_qty_trend > 1.519 AND deliv_per_22 > 42.62,2.375214811063531,0.26823638042474607,0.04996130363745808,1162,1.7522088218496994,0.18685121107266436,0.05436893203883495,756,756,0.21666825611324014,0.2737784975083615,0.32348953093398364,0.21434563758389258,0.8359788359788359,0.6286048616147346,-0.0972868917929051,0.46720214190093706,0.2728512960436562
T20-26→2012-19,ret_22d <= 0.08008 AND vol_22 > 0.02342 AND ret_1d > -0.03109,2.331769698175686,0.26333006215243704,0.17305873247914696,4025,1.8919148977103393,0.20174912115236218,0.16921970514203524,2353,2353,0.17312466016122424,0.16743441991149985,0.1860758142208358,0.12687155240346737,0.738206544836379,0.47930328288323876,-0.1355703840924367,0.3273040482342808,0.18763604701784936
T20-26→2012-19,ret_22d <= 0.08008 AND vol_22 <= 0.02342 AND ret_1d <= -0.02873,2.221495440824801,0.2508766337264903,0.06767563848998194,1574,2.085295655969557,0.22237076648841356,0.07177274361740381,998,998,0.1305727189707013,0.13491403829828974,0.1484465765782555,0.11822466614296934,0.7545090180360722,0.3688695565121517,-0.1040942017717065,0.2123356926188069,0.10386965376782077
T20-26→2012-19,ret_22d <= 0.08008 AND vol_22 <= 0.02342 AND ret_1d > -0.02873,0.3260323627460773,0.036819297554471345,0.26120044715796714,6075,0.3965847891053692,0.04229082014272141,0.30089895720963683,4184,4184,0.1308938369636001,0.13586303180762063,0.16385976106753825,0.11792110267404676,0.780114722753346,0.36764898197239915,-0.09549070242890716,0.20812182741116753,0.10934442270058709
