split,rule,train_lift,train_hit,train_cov,train_n,test_lift,test_hit,test_cov,test_n,te_n,te_avg_ret_22,te_avg_ret_66,te_avg_ret_132,te_median_ret_66,te_win_rate_66,te_avg_mfe_6m,te_avg_mae_6m,te_big50_6m_rate,te_big100_12m_rate
T12-19→2020-26,vol_66 > 0.02391 AND ret_1d <= -0.0156 AND deliv_qty_trend <= 1.428,4.6326137864029295,0.6423357664233577,0.2815699658703072,5280,4.460443463087949,0.6996975877347211,0.2927037363930568,9949,9949,0.17448853168410544,0.240345222907618,0.33421392045441867,0.1798822374877329,0.6977585687003719,0.5917648395023952,-0.08147817262154675,0.46303322984937334,0.3049288867091712
T12-19→2020-26,vol_66 > 0.02391 AND ret_1d > -0.0156 AND dist_low_252 > 1.144,4.166106622942372,0.5776521449950116,0.09263011945392491,1737,3.9174040117174656,0.6145124716553289,0.11959399823477493,4065,4065,0.1741059748993117,0.2557051149310318,0.3806188453502671,0.1719128329297821,0.7340713407134072,0.672294436476731,-0.10264304961514382,0.5045489992201716,0.3558032073933134
T12-19→2020-26,vol_66 > 0.02391 AND ret_1d <= -0.0156 AND deliv_qty_trend > 1.428,2.9295978985284408,0.40620384047267355,0.0733255119453925,1375,3.9069463435788,0.6128720058069199,0.0745219182112386,2533,2533,0.17280040096225582,0.2411170480413359,0.3711182268128528,0.1742436324837886,0.6656138965653375,0.6289518677618015,-0.08574091896565035,0.5006864988558353,0.36953316953316956
T12-19→2020-26,vol_66 > 0.02391 AND ret_1d > -0.0156 AND dist_low_252 <= 1.144,2.128526641185598,0.2951311839185485,0.2411476109215017,4522,2.1509427350636328,0.33741251414441975,0.2368637834657252,8051,8051,0.15877522225068486,0.21688260709346477,0.3067466083546472,0.1641311398387837,0.6795429139237362,0.5402158736560947,-0.0874489363821143,0.4264053783435846,0.3109413965087282
T12-19→2020-26,vol_66 <= 0.02391 AND vol_66 > 0.01913 AND close_vs_sma50 > 0.01546,2.109209986154936,0.29245283018867924,0.07273890784982935,1364,2.647494571894976,0.41530524505588995,0.07105030891438659,2415,2415,0.15204366395588198,0.22694207420998508,0.3483311947136885,0.18289797930014795,0.7718426501035197,0.5438438451180033,-0.06681461971477752,0.4288232701630674,0.2882968601332065
T12-19→2020-26,vol_66 <= 0.02391 AND vol_66 > 0.01913 AND close_vs_sma50 <= 0.01546,0.7927529512874858,0.10991928056774473,0.10820179180887372,2029,0.7383037352206366,0.11581569115815692,0.09849955869373345,3348,3348,0.148085792612791,0.1936685777167886,0.27884329669892954,0.1511976047904191,0.692652329749104,0.482305172817717,-0.07200745576716439,0.3650394831299354,0.23326810176125246
T12-19→2020-26,vol_66 <= 0.02391 AND vol_66 <= 0.01913 AND ret_22d <= 0.08525,0.1829992049850229,0.025373782492710467,0.10905503412969283,2045,0.14920955170192696,0.023406094989609088,0.09079140923801118,3086,3086,0.1373900286801018,0.17114059916995494,0.2515675859190943,0.14235637779941568,0.7420609202851588,0.41863811295277586,-0.06555220468558055,0.3030998851894374,0.20379965457685664
T20-26→2012-19,vol_22 <= 0.02291 AND ret_22d > 0.09246 AND deliv_per_22 <= 55.56,5.421103474157523,0.8503937007874016,0.03177405119152692,1080,4.020253603577683,0.5574288724973656,0.02821032423208191,529,529,0.1513000833903328,0.2119777353157724,0.21803817290599933,0.16069941715237301,0.7712665406427222,0.479932846490549,-0.0959606586600037,0.366412213740458,0.2131782945736434
T20-26→2012-19,vol_22 > 0.02291 AND vol_66 > 0.02558 AND ret_1d <= -0.01344,4.817967652632993,0.7557814312026742,0.32594880847308033,11079,4.438529056464024,0.6154249187886409,0.31319325938566556,5873,5873,0.14043168357844132,0.14057521353110858,0.14506861025742052,0.09545849002024887,0.6345990124297634,0.5021061122027398,-0.1787548275978085,0.34005212858384015,0.20584070796460177
T20-26→2012-19,vol_22 > 0.02291 AND vol_66 <= 0.02558 AND close_vs_sma50 > 0.02255,3.565279806064466,0.5592757089169799,0.048161223889379226,1637,2.2054470755793223,0.3057965984033322,0.04698165529010239,881,881,0.14904158627948286,0.18601406688247785,0.21369148517535203,0.14757162784063427,0.7377979568671964,0.47104246748858936,-0.09497163810843093,0.34597701149425286,0.18308227114716108
T20-26→2012-19,vol_22 > 0.02291 AND vol_66 > 0.02558 AND ret_1d > -0.01344,3.3616580019505875,0.5273341124529282,0.2389526331273904,8122,2.9889117451780094,0.41442801086628434,0.2196565699658703,4119,4119,0.14389135913283244,0.16441858136915546,0.17898685500336411,0.11098414088226127,0.674435542607429,0.5203284376624747,-0.16603932858970383,0.3588481417671671,0.2148037009252313
T20-26→2012-19,vol_22 > 0.02291 AND vol_66 <= 0.02558 AND close_vs_sma50 <= 0.02255,1.5711870191759234,0.24646781789638933,0.06466607825831126,2198,1.3227079249877782,0.18340026773761714,0.06575298634812286,1233,1233,0.12436561486545691,0.12918794008974063,0.11093846262995628,0.10547399668547519,0.7007299270072993,0.38742290233618654,-0.13574809894552006,0.24112303881090008,0.11602671118530884
T20-26→2012-19,vol_22 <= 0.02291 AND ret_22d <= 0.09246 AND vol_66 > 0.02047,1.158739229275529,0.18176825919824272,0.16554869079140924,5627,1.2744093461997548,0.17670342097823014,0.16664889078498293,3125,3125,0.13629493134578813,0.13912355795048176,0.14753311471150857,0.10523212564193729,0.68224,0.43238095749076094,-0.13283967656606993,0.2939265995453069,0.15543871179756819
