feature,group,kind,cliffs_delta,pos_median,ctrl_median,hit_ratio,lift,coverage,n_events_match,support_real,base_rate,threshold,direction,category
h_rs_rank,house(DVPT),numeric,0.29627896874374127,52.0,33.0,0.7023036030714708,4.682436428115941,0.11261389251955826,5945,8465.0,0.14998678868429502,89.0,>=,
close_vs_sma200,raw,numeric,0.16797673853518522,0.06012416021770561,-0.0004417671576415483,0.6860091942059156,4.573797467254841,0.1498172036900229,7909,11529.0,0.14998678868429502,0.4021547901273648,>=,
h_rs_vs_broad_slope_6m,house(DVPT),numeric,0.18851593191090374,1.7117907317463505,-5.9650718132257765,0.6765972405308024,4.511045582521017,0.14583925290295693,7699,11379.0,0.14998678868429502,43.39825135593882,>=,
ret_10d,raw,numeric,-0.024472985405687354,-0.01593959731543626,-0.009175514641855398,0.6755692518404383,4.504191720928395,0.14949517910249854,7892,11682.0,0.14998678868429502,0.0858735054235458,>=,
sma50_vs_sma200,raw,numeric,0.15863842818125157,0.06106584413500471,0.01350879324315557,0.6624579124579124,4.416775092453712,0.14907844140099638,7870,11880.0,0.14998678868429502,0.3060866011805927,>=,
ret_132d,raw,numeric,0.15349008694965244,0.09944101206237144,0.007185109676232426,0.6612876113632543,4.408972397930253,0.1490405561554053,7868,11898.0,0.14998678868429502,0.6678996175732665,>=,
h_accum_price_drift_3m,house(DVPT),numeric,0.14885525569461355,3.110545790934327,-1.6531749456175915,0.6612306657700068,4.4085927272022705,0.14900267090981417,7866,11896.0,0.14998678868429502,34.61014693607897,>=,
dist_low_252,raw,numeric,0.42512485767247815,0.5276220976781425,0.1916286467405739,0.653766125676238,4.358824743240158,0.1487943020590631,7855,12015.0,0.14998678868429502,1.5803408129046694,>=,
close_vs_sma20,raw,numeric,-0.011700752617793795,-0.01246131291741337,-0.009119815945095755,0.650343856160411,4.336007603505068,0.14868064632228978,7849,12069.0,0.14998678868429502,0.06329365372042281,>=,
ret_66d,raw,numeric,0.15578777175732286,0.039890089065757195,-0.015019788918205768,0.6497764530551415,4.332224582945411,0.14866170369949422,7848,12078.0,0.14998678868429502,0.38788351200839766,>=,
range_tight_66,raw,numeric,0.712503198791541,0.3446028039083019,0.16487930502959175,0.6480793060718711,4.32090927312274,0.14860487583110757,7845,12105.0,0.14998678868429502,0.5730539490038017,>=,
h_rs_vs_broad_slope_3m,house(DVPT),numeric,0.18744914205961488,-0.1721223717511918,-5.158527206204049,0.6444109772423026,4.296451593471434,0.1458960807713436,7702,11952.0,0.14998678868429502,27.082612156485002,>=,
h_rs_vs_broad_slope_12m,house(DVPT),numeric,0.24575836320534708,6.299161725308071,-8.294412528207927,0.643438758892603,4.28996956689944,0.1422022693262109,7507,11667.0,0.14998678868429502,74.70565505545349,>=,
sma50_slope,raw,numeric,0.18482704107055037,0.01774760086849425,-0.0029974415190259784,0.6229730809170062,4.153519695846633,0.14773351518251218,7799,12519.0,0.14998678868429502,0.11947799835313508,>=,
vol_66,raw,numeric,0.7496942147954816,0.02887866682548162,0.0157794823711769,0.6115436030510341,4.0773164651072245,0.14731677748101002,7777,12717.0,0.14998678868429502,0.0399943340479305,>=,
ret_252d,raw,numeric,0.22299931570645734,0.22641673381843996,0.02674269415739261,0.60646521433591,4.043457558201674,0.1471273512530545,7767,12807.0,0.14998678868429502,1.2357329094079268,>=,
close_vs_sma50,raw,numeric,0.13098203111463125,0.0017225747960110116,-0.018671809576477294,0.5965195965195965,3.977147599147561,0.14674849879714344,7747,12987.0,0.14998678868429502,0.14157654248204252,>=,
vol_22,raw,numeric,0.7319297562770276,0.02726940918392954,0.013737033979673085,0.5723635281868213,3.8160929586377166,0.29156485006914057,15392,26892.0,0.14998678868429502,0.03393326852995694,>=,
range_tight_22,raw,numeric,0.6876082053323176,0.17314984138406933,0.07674396284870622,0.5719063545150501,3.8130448656971208,0.14576348241177473,7695,13455.0,0.14998678868429502,0.30732348192602454,>=,
h_rs_vs_broad_slope_1m,house(DVPT),numeric,0.09992284347021178,-1.5457173787646654,-2.779406579539277,0.5680167702328367,3.787112019768933,0.1437176791498551,7587,13357.0,0.14998678868429502,12.830450968489812,>=,
atr14_pct,raw,numeric,0.7211978987443277,0.04483539877034016,0.02546441165435504,0.551948051948052,3.679977795309954,0.28982212877194974,15300,27720.0,0.14998678868429502,0.05366414379200408,>=,
ret_22d,raw,numeric,0.10461797957752263,-0.0027229908743009457,-0.018731768439711416,0.5480955455132344,3.654292156803974,0.14474058078081492,7641,13941.0,0.14998678868429502,0.16857018565990822,>=,
cpr_width_pct,cpr,numeric,0.3301885362397722,0.6209806092314274,0.3490234232781926,0.48538754764930114,3.2362020142386423,0.11577731052641549,6112,12592.0,0.14998678868429502,1.460910052880929,>=,
cpr_depth_pct,cpr,numeric,0.3363136598138943,1.3830243827149535,0.7888278622953366,0.47535052012663953,3.1692826034644814,0.039817393116250877,2102,4422.0,0.14998678868429502,3.5106949026072876,>=,
cpr_separation_pct,cpr,numeric,0.19792781254323355,0.7481900865357387,0.4083779185547928,0.42916666666666664,2.8613631269218867,0.039021802958837684,2060,4800.0,0.14998678868429502,2.5294980366658555,>=,
ret_5d,raw,numeric,-0.15714001783883735,-0.01906412478336228,-0.004028611798034931,0.4176880142700961,2.7848320371021575,0.13750449887291394,7259,17379.0,0.14998678868429502,0.04898790888739358,>=,
h_trade_count_ratio_1m_6m,house(DVPT),numeric,0.19393192207959709,1.028276844632872,0.9038043587186748,0.3316306861989206,2.211065981931016,0.13036313007899072,6882,20752.0,0.14998678868429502,1.7575087020145526,>=,
nr_ratio_10_60,raw,numeric,0.22729603288407912,1.0200709827438494,0.9231716653361073,0.30979206741778875,2.0654623659545477,0.12812790058911558,6764,21834.0,0.14998678868429502,1.4076457582050002,>=,
updown_vol_22,raw,numeric,0.23286529106219467,1.2779801264956754,0.9582064967625987,0.2993060219386613,1.9955492384643698,0.12663143338826693,6685,22335.0,0.14998678868429502,2.793521779045267,>=,
trades_trend,raw,numeric,0.14060643154988026,1.018741348099244,0.9484262417786276,0.2880722786899487,1.9206510201128968,0.12562747438010266,6632,23022.0,0.14998678868429502,1.5261321164052557,>=,
h_deliv_value_ratio_1m_6m,house(DVPT),numeric,0.16029114995016489,1.0173105360268917,0.8941724869952978,0.27458964778976536,1.83075889682354,0.12390369570570742,6541,23821.0,0.14998678868429502,1.8888288219536244,>=,
h_deliv_updown_ratio_3m,house(DVPT),numeric,0.2210473283398972,1.264466454014771,1.0430237832864462,0.2691511387163561,1.794498976059074,0.12312704817108977,6500,24150.0,0.14998678868429502,2.0603999799965003,>=,
deliv_updown_22,raw,numeric,0.19636697591088145,1.159034232060178,0.9071742523367202,0.2632524707996406,1.755171059457489,0.12210414654012995,6446,24486.0,0.14998678868429502,2.440966269056641,>=,
ret_1d,raw,numeric,-0.3618713139106273,-0.013064576334453126,-0.000760841745810481,0.2609596916549256,1.7398845187906238,0.6104828474550587,32228,123498.0,0.14998678868429502,-0.006925207756232732,<=,
h_turnover_surge_1y,house(DVPT),numeric,0.15325984125256067,0.7320394987789314,0.589596451580072,0.26095407791366326,1.7398470905523662,0.12206626129453885,6444,24694.0,0.14998678868429502,2.131542442586883,>=,
h_rs_vs_broad_trend_state,house(DVPT),categorical,,,,0.2595303211227097,1.7303545425523525,0.3828872345664981,20213,77883.0,0.14998678868429502,,==,UPTREND
deliv_per_22,raw,numeric,-0.40050436635813036,47.065000000000005,55.945,0.25529878953160134,1.7021418470994536,0.6064670114224016,32016,125406.0,0.14998678868429502,50.23863636363637,<=,
h_avg_deliv_pct_1m,house(DVPT),numeric,-0.3966901394889085,47.09095238095239,56.000934782608695,0.2547607859378609,1.6985548405473438,0.6059176753613306,31987,125557.0,0.14998678868429502,50.3078947368421,<=,
vol_ratio,raw,numeric,0.15536189721733124,0.9781716883754816,0.9119537828982891,0.25141075727082596,1.6762193488922332,0.12068344983046353,6371,25341.0,0.14998678868429502,1.2843110409662655,>=,
vol_ratio_22_66,raw,numeric,0.11399020278532938,1.0039099844245125,0.9293902102970618,0.24881525868483922,1.6589145008535837,0.12034248262014359,6353,25533.0,0.14998678868429502,1.6383503229343954,>=,
big_deliv_days_10,raw,numeric,0.10010087380347323,1.0,0.0,0.24759902256066374,1.6508055458259812,0.1650660150404425,8714,35194.0,0.14998678868429502,3.0,>=,
atr_contraction,raw,numeric,0.1673839644909766,1.0112009224651597,0.9512412597092853,0.2406322960921652,1.6043566116924375,0.11909226951563713,6287,26127.0,0.14998678868429502,1.299986034268329,>=,
h_rs_vs_broad_above_50ma,house(DVPT),numeric,0.20041097517987677,0.0,0.0,0.23971359213398338,1.5982313791553535,0.4451895209410695,23502,98042.0,0.14998678868429502,1.0,>=,
deliv_val_trend,raw,numeric,0.12600806926859387,1.0208719367499635,0.9395558954752944,0.23786739576213262,1.5859223192171692,0.11865658919133944,6264,26334.0,0.14998678868429502,1.6163342261362879,>=,
