Stock,Buy date,Buy price,Entry rank,Risk-adj score,6m return % at entry,Volatility %/yr at entry,5y return %,WHY PICKED,Initial SL,SL path,Peak price,Final SL,Sell date,Sell price,Exit trigger,WHY EXITED,Return %
MAJESCO,2020-09-07,1283.9,12,37.71,105.0,44.0,n/a,"Rank #12 of 471 by 6m-return/volatility | 6m +105%, vol ~44%/yr",1052.8,-18% ->BE@+15% ->20%-trail,1712.3,1369.8,2020-12-23,20.7,STOP_LOSS,"Stop-loss hit at 21; had peaked +33%, SL trailed to 1370",-99.0
ADANIGREEN,2020-09-07,502.3,2,67.19,264.0,62.0,n/a,"Rank #2 of 471 by 6m-return/volatility | 6m +264%, vol ~62%/yr",411.9,-18% ->BE@+15% ->20%-trail,1107.9,886.3,2020-12-21,886.3,STOP_LOSS,"Stop-loss hit at 886; had peaked +121%, SL trailed to 886",75.9
RAMCOSYS,2020-09-07,277.4,22,26.57,130.0,78.0,-69.0,"Rank #22 of 471 by 6m-return/volatility | 6m +130%, vol ~78%/yr, 5y -69% (not over-extended)",227.5,-18% ->BE@+15% ->20%-trail,523.1,418.4,2020-11-04,418.4,STOP_LOSS,"Stop-loss hit at 418; had peaked +89%, SL trailed to 418",50.2
INFIBEAM,2020-10-08,15.6,13,70.03,140.0,32.0,n/a,"Rank #13 of 390 by 6m-return/volatility | 6m +140%, vol ~32%/yr",12.8,-18%,16.4,12.8,2020-11-09,15.1,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 15,-3.6
MINDTREE,2020-10-08,1461.2,17,56.86,100.0,28.0,145.0,"Rank #17 of 390 by 6m-return/volatility | 6m +100%, vol ~28%/yr, 5y +145% (not over-extended)",1198.1,-18%,1605.8,1198.1,2020-11-09,1370.6,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1371,-6.8
KPITTECH,2020-10-08,117.5,18,56.83,188.0,52.0,n/a,"Rank #18 of 390 by 6m-return/volatility | 6m +188%, vol ~52%/yr",96.4,-18%,121.0,96.4,2020-10-27,96.4,STOP_LOSS,"Stop-loss hit at 96; had peaked +3%, SL trailed to 96",-18.6
KEC,2020-10-08,333.7,23,53.01,121.0,36.0,150.0,"Rank #23 of 390 by 6m-return/volatility | 6m +121%, vol ~36%/yr, 5y +150% (not over-extended)",273.6,-18%,337.2,273.6,2020-11-09,323.1,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 323,-3.8
TATAELXSI,2020-10-08,1401.4,20,55.1,120.0,35.0,47.0,"Rank #20 of 390 by 6m-return/volatility | 6m +120%, vol ~35%/yr, 5y +47% (not over-extended)",1149.2,-18% ->BE@+15%,1710.0,1401.4,2020-11-09,1524.1,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1524,8.2
INTELLECT,2020-10-08,222.9,8,85.84,249.0,46.0,43.0,"Rank #8 of 390 by 6m-return/volatility | 6m +249%, vol ~46%/yr, 5y +43% (not over-extended)",182.8,-18%,251.3,182.8,2020-11-09,231.8,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 232,3.4
HEXAWARE,2020-10-08,467.5,19,56.03,87.0,25.0,93.0,"Rank #19 of 390 by 6m-return/volatility | 6m +87%, vol ~25%/yr, 5y +93% (not over-extended)",383.4,-18%,471.8,383.4,2020-10-30,470.8,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 471,0.1
