Stock,Buy date,Buy price,Entry rank,Risk-adj score,6m return % at entry,Volatility %/yr at entry,5y return %,WHY PICKED,Initial SL,SL path,Peak price,Final SL,Sell date,Sell price,Exit trigger,WHY EXITED,Return %
MERCK,2019-01-25,3213.7,8,20.21,42.0,33.0,474.0,"Rank #8 of 285 by 6m-return/volatility | 6m +42%, vol ~33%/yr, 5y +474%",2635.2,-18%,3369.0,2635.2,2019-02-26,2906.6,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 2907,-10.2
ICICIBANK,2019-01-25,331.1,9,19.99,34.0,27.0,56.0,"Rank #9 of 285 by 6m-return/volatility | 6m +34%, vol ~27%/yr, 5y +56% (not over-extended)",271.5,-18%,349.1,271.5,2019-02-26,322.7,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 323,-3.1
APOLLOHOSP,2019-01-25,1292.3,13,18.63,39.0,33.0,36.0,"Rank #13 of 285 by 6m-return/volatility | 6m +39%, vol ~33%/yr, 5y +36% (not over-extended)",1059.7,-18%,1357.9,1059.7,2019-02-26,1157.3,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1157,-11.0
TORNTPHARM,2019-01-25,926.0,19,17.57,31.0,28.0,292.0,"Rank #19 of 285 by 6m-return/volatility | 6m +31%, vol ~28%/yr, 5y +292%",759.4,-18%,942.1,759.4,2019-02-26,901.4,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 901,-3.3
HAVELLS,2019-01-25,778.9,23,17.12,26.0,24.0,310.0,"Rank #23 of 285 by 6m-return/volatility | 6m +26%, vol ~24%/yr, 5y +310%",638.7,-18%,829.6,638.7,2019-02-26,763.7,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 764,-2.6
HDIL,2019-01-25,26.3,18,17.67,54.0,49.0,-48.0,"Rank #18 of 285 by 6m-return/volatility | 6m +54%, vol ~49%/yr, 5y -48% (not over-extended)",21.6,-18%,27.5,21.6,2019-02-05,21.6,STOP_LOSS,"Stop-loss hit at 22; had peaked +4%, SL trailed to 22",-18.6
UBL,2019-01-25,1487.5,10,19.48,33.0,27.0,86.0,"Rank #10 of 285 by 6m-return/volatility | 6m +33%, vol ~27%/yr, 5y +86% (not over-extended)",1219.8,-18%,1531.4,1219.8,2019-02-26,1389.4,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1389,-7.2
AUROPHARMA,2019-01-25,824.9,14,18.13,35.0,30.0,276.0,"Rank #14 of 285 by 6m-return/volatility | 6m +35%, vol ~30%/yr, 5y +276%",676.4,-18%,844.6,676.4,2019-02-26,754.7,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 755,-9.1
JKPAPER,2019-01-25,135.6,17,17.88,39.0,34.0,376.0,"Rank #17 of 285 by 6m-return/volatility | 6m +39%, vol ~34%/yr, 5y +376%",111.2,-18%,135.6,111.2,2019-02-26,121.4,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 121,-11.0
AARTIIND,2019-01-25,373.8,20,17.36,27.0,25.0,1451.0,"Rank #20 of 285 by 6m-return/volatility | 6m +27%, vol ~25%/yr, 5y +1451%",306.5,-18% ->BE@+15%,436.7,373.8,2019-02-11,373.8,STOP_LOSS,"Stop-loss hit at 374; had peaked +17%, SL trailed to 374",-0.6
IBVENTURES,2019-01-25,265.6,16,18.01,54.0,48.0,n/a,"Rank #16 of 285 by 6m-return/volatility | 6m +54%, vol ~48%/yr",217.8,-18%,265.6,217.8,2019-01-29,217.8,STOP_LOSS,"Stop-loss hit at 218; had peaked +0%, SL trailed to 218",-18.6
STAR,2019-01-25,230.7,15,18.09,50.0,44.0,42.0,"Rank #15 of 285 by 6m-return/volatility | 6m +50%, vol ~44%/yr, 5y +42% (not over-extended)",189.2,-18%,241.6,189.2,2019-02-05,189.2,STOP_LOSS,"Stop-loss hit at 189; had peaked +5%, SL trailed to 189",-18.6
PRAJIND,2019-01-25,88.7,24,16.8,57.0,53.0,168.0,"Rank #24 of 285 by 6m-return/volatility | 6m +57%, vol ~53%/yr, 5y +168% (not over-extended)",72.8,-18% ->BE@+15% ->20%-trail,122.8,98.2,2019-04-01,113.0,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 113,26.7
ABFRL,2019-01-25,69.2,5,25.33,48.0,30.0,n/a,"Rank #5 of 285 by 6m-return/volatility | 6m +48%, vol ~30%/yr",56.8,-18% ->BE@+15%,81.9,69.2,2019-04-01,77.5,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 78,11.4
PVR,2019-01-25,1561.8,7,23.17,36.0,24.0,141.0,"Rank #7 of 285 by 6m-return/volatility | 6m +36%, vol ~24%/yr, 5y +141% (not over-extended)",1280.7,-18%,1708.7,1280.7,2019-04-01,1650.6,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1651,5.1
IOLCP,2019-01-25,38.5,2,38.17,128.0,53.0,411.0,"Rank #2 of 285 by 6m-return/volatility | 6m +128%, vol ~53%/yr, 5y +411%",31.5,-18%,38.5,31.5,2019-01-28,31.5,STOP_LOSS,"Stop-loss hit at 32; had peaked +0%, SL trailed to 32",-18.6
DRREDDY,2019-01-25,520.6,21,17.3,30.0,28.0,6.0,"Rank #21 of 285 by 6m-return/volatility | 6m +30%, vol ~28%/yr, 5y +6% (not over-extended)",426.9,-18%,560.6,426.9,2019-02-15,426.9,STOP_LOSS,"Stop-loss hit at 427; had peaked +8%, SL trailed to 427",-18.6
SRF,2019-01-25,388.2,22,17.17,33.0,30.0,824.0,"Rank #22 of 285 by 6m-return/volatility | 6m +33%, vol ~30%/yr, 5y +824%",318.3,-18% ->BE@+15%,463.3,388.2,2019-04-01,441.3,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 441,13.1
CGCL,2019-01-25,36.7,3,30.0,69.0,37.0,384.0,"Rank #3 of 285 by 6m-return/volatility | 6m +69%, vol ~37%/yr, 5y +384%",30.1,-18% ->BE@+15% ->20%-trail,54.8,43.8,2019-05-07,48.5,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 48,31.6
DHAMPURSUG,2019-01-25,105.3,1,38.54,122.0,50.0,461.0,"Rank #1 of 285 by 6m-return/volatility | 6m +122%, vol ~50%/yr, 5y +461%",86.3,-18% ->BE@+15% ->20%-trail,161.6,129.3,2019-05-07,141.0,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 141,33.3
BALRAMCHIN,2019-01-25,97.8,6,24.53,62.0,40.0,132.0,"Rank #6 of 285 by 6m-return/volatility | 6m +62%, vol ~40%/yr, 5y +132% (not over-extended)",80.2,-18% ->BE@+15% ->20%-trail,149.9,119.9,2019-05-07,136.1,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 136,38.6
ADANIPOWER,2019-01-25,6.2,4,28.44,99.0,55.0,26.0,"Rank #4 of 285 by 6m-return/volatility | 6m +99%, vol ~55%/yr, 5y +26% (not over-extended)",5.1,-18%,6.2,5.1,2019-01-28,5.1,STOP_LOSS,"Stop-loss hit at 5; had peaked +0%, SL trailed to 5",-18.6
UPL,2019-01-25,488.6,12,19.07,37.0,31.0,283.0,"Rank #12 of 285 by 6m-return/volatility | 6m +37%, vol ~31%/yr, 5y +283%",400.6,-18% ->BE@+15% ->20%-trail,677.1,541.7,2019-06-20,541.7,STOP_LOSS,"Stop-loss hit at 542; had peaked +39%, SL trailed to 542",10.3
MUTHOOTFIN,2019-01-25,471.1,25,16.4,37.0,36.0,346.0,"Rank #25 of 285 by 6m-return/volatility | 6m +37%, vol ~36%/yr, 5y +346%",386.3,-18% ->BE@+15%,578.5,471.1,2019-07-09,541.5,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 542,14.4
BATAINDIA,2019-01-25,1193.9,11,19.26,33.0,28.0,105.0,"Rank #11 of 285 by 6m-return/volatility | 6m +33%, vol ~28%/yr, 5y +105% (not over-extended)",979.0,-18% ->BE@+15% ->20%-trail,1677.8,1342.2,2019-09-13,1663.0,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1663,38.7
DIVISLAB,2019-02-26,1621.4,7,15.95,25.0,25.0,149.0,"Rank #7 of 288 by 6m-return/volatility | 6m +25%, vol ~25%/yr, 5y +149% (not over-extended)",1329.6,-18%,1775.0,1329.6,2019-04-01,1723.3,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1723,5.7
RECLTD,2019-02-26,127.8,19,7.65,20.0,42.0,56.0,"Rank #19 of 288 by 6m-return/volatility | 6m +20%, vol ~42%/yr, 5y +56% (not over-extended)",104.8,-18% ->BE@+15%,152.1,127.8,2019-04-01,138.3,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 138,7.7
TECHM,2019-02-26,833.3,16,9.02,15.0,26.0,94.0,"Rank #16 of 288 by 6m-return/volatility | 6m +15%, vol ~26%/yr, 5y +94% (not over-extended)",683.3,-18%,838.4,683.3,2019-04-01,785.5,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 786,-6.3
ICICIGI,2019-02-26,901.5,15,9.24,19.0,33.0,n/a,"Rank #15 of 288 by 6m-return/volatility | 6m +19%, vol ~33%/yr",739.3,-18% ->BE@+15%,1045.0,901.5,2019-04-01,1015.3,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1015,12.0
AXISBANK,2019-02-26,686.9,18,8.12,12.0,24.0,190.0,"Rank #18 of 288 by 6m-return/volatility | 6m +12%, vol ~24%/yr, 5y +190% (not over-extended)",563.3,-18%,761.9,563.3,2019-04-01,740.6,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 741,7.2
INDHOTEL,2019-02-26,151.6,23,5.92,11.0,28.0,142.0,"Rank #23 of 288 by 6m-return/volatility | 6m +11%, vol ~28%/yr, 5y +142% (not over-extended)",124.4,-18%,171.8,124.4,2019-04-01,167.9,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 168,10.1
WIPRO,2019-02-26,193.4,4,19.98,34.0,27.0,38.0,"Rank #4 of 288 by 6m-return/volatility | 6m +34%, vol ~27%/yr, 5y +38% (not over-extended)",158.6,-18%,193.4,158.6,2019-03-06,136.9,STOP_LOSS,"Stop-loss hit at 137; had peaked +0%, SL trailed to 159",-29.8
PFC,2019-02-26,104.6,8,13.32,40.0,48.0,72.0,"Rank #8 of 288 by 6m-return/volatility | 6m +40%, vol ~48%/yr, 5y +72% (not over-extended)",85.7,-18%,116.0,85.7,2019-05-07,103.3,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 103,-1.9
TITAN,2019-02-26,1038.3,13,10.49,14.0,21.0,400.0,"Rank #13 of 288 by 6m-return/volatility | 6m +14%, vol ~21%/yr, 5y +400%",851.4,-18% ->BE@+15%,1340.9,1038.3,2019-07-09,1098.9,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1099,5.2
KAJARIACER,2019-02-26,522.6,21,6.62,11.0,27.0,243.0,"Rank #21 of 288 by 6m-return/volatility | 6m +11%, vol ~27%/yr, 5y +243%",428.5,-18% ->BE@+15%,630.0,522.6,2019-07-09,549.1,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 549,4.5
MANAPPURAM,2019-02-26,107.2,24,5.48,13.0,37.0,470.0,"Rank #24 of 288 by 6m-return/volatility | 6m +13%, vol ~37%/yr, 5y +470%",87.9,-18% ->BE@+15%,137.4,107.2,2019-07-26,107.2,STOP_LOSS,"Stop-loss hit at 107; had peaked +28%, SL trailed to 107",-0.6
PIIND,2019-02-26,851.4,10,11.85,17.0,23.0,275.0,"Rank #10 of 288 by 6m-return/volatility | 6m +17%, vol ~23%/yr, 5y +275%",698.1,-18% ->BE@+15% ->20%-trail,1376.8,1101.5,2019-11-21,1335.7,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1336,56.3
PNB,2019-04-01,97.5,24,19.44,45.0,37.0,-41.0,"Rank #24 of 340 by 6m-return/volatility | 6m +45%, vol ~37%/yr, 5y -41% (not over-extended)",80.0,-18%,99.8,80.0,2019-05-07,83.9,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 84,-14.5
INOXLEISUR,2019-04-01,325.4,17,22.42,44.0,31.0,216.0,"Rank #17 of 340 by 6m-return/volatility | 6m +44%, vol ~31%/yr, 5y +216%",266.8,-18%,333.0,266.8,2019-05-07,304.0,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 304,-7.2
BAJFINANCE,2019-04-01,301.7,25,18.95,30.0,25.0,1634.0,"Rank #25 of 340 by 6m-return/volatility | 6m +30%, vol ~25%/yr, 5y +1634%",247.4,-18%,318.2,247.4,2019-05-07,303.3,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 303,-0.1
ORIENTBANK,2019-04-01,109.1,8,28.13,67.0,38.0,-34.0,"Rank #8 of 340 by 6m-return/volatility | 6m +67%, vol ~38%/yr, 5y -34% (not over-extended)",89.5,-18%,113.3,89.5,2019-05-07,89.5,STOP_LOSS,"Stop-loss hit at 89; had peaked +4%, SL trailed to 89",-18.6
FEDERALBNK,2019-04-01,91.5,21,20.52,37.0,29.0,137.0,"Rank #21 of 340 by 6m-return/volatility | 6m +37%, vol ~29%/yr, 5y +137% (not over-extended)",75.1,-18%,95.6,75.1,2019-05-07,92.1,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 92,0.0
BANKBEES,2019-04-01,298.4,12,26.01,20.0,12.0,178.0,"Rank #12 of 340 by 6m-return/volatility | 6m +20%, vol ~12%/yr, 5y +178% (not over-extended)",244.7,-18%,301.0,244.7,2019-05-07,287.6,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 288,-4.2
GODFRYPHLP,2019-04-01,427.2,16,23.0,53.0,37.0,76.0,"Rank #16 of 340 by 6m-return/volatility | 6m +53%, vol ~37%/yr, 5y +76% (not over-extended)",350.3,-18%,444.7,350.3,2019-05-07,377.6,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 378,-12.2
BEML,2019-04-01,382.7,13,24.57,53.0,34.0,486.0,"Rank #13 of 340 by 6m-return/volatility | 6m +53%, vol ~34%/yr, 5y +486%",313.8,-18%,392.6,313.8,2019-05-08,313.8,STOP_LOSS,"Stop-loss hit at 314; had peaked +3%, SL trailed to 314",-18.6
HDFCBANK,2019-04-01,576.6,23,20.02,17.0,14.0,247.0,"Rank #23 of 340 by 6m-return/volatility | 6m +17%, vol ~14%/yr, 5y +247%",472.8,-18%,616.1,472.8,2019-06-07,610.5,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 611,5.3
IPCALAB,2019-04-01,433.7,15,23.01,39.0,27.0,9.0,"Rank #15 of 340 by 6m-return/volatility | 6m +39%, vol ~27%/yr, 5y +9% (not over-extended)",355.6,-18%,460.6,355.6,2019-06-07,418.4,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 418,-4.1
VAKRANGEE,2019-04-01,43.1,14,24.2,82.0,54.0,281.0,"Rank #14 of 340 by 6m-return/volatility | 6m +82%, vol ~54%/yr, 5y +281%",35.4,-18% ->BE@+15% ->20%-trail,59.9,47.9,2019-05-08,47.9,STOP_LOSS,"Stop-loss hit at 48; had peaked +39%, SL trailed to 48",10.4
DCBBANK,2019-04-01,183.6,18,21.78,32.0,23.0,262.0,"Rank #18 of 340 by 6m-return/volatility | 6m +32%, vol ~23%/yr, 5y +262%",150.5,-18% ->BE@+15%,221.7,183.6,2019-07-17,183.6,STOP_LOSS,"Stop-loss hit at 184; had peaked +21%, SL trailed to 184",-0.6
INDIGO,2019-04-01,1471.9,7,28.59,66.0,37.0,n/a,"Rank #7 of 340 by 6m-return/volatility | 6m +66%, vol ~37%/yr",1206.9,-18% ->BE@+15%,1714.1,1471.9,2019-05-17,1471.9,STOP_LOSS,"Stop-loss hit at 1472; had peaked +16%, SL trailed to 1472",-0.6
PCJEWELLER,2019-05-07,12.6,11,25.68,127.0,79.0,40.0,"Rank #11 of 300 by 6m-return/volatility | 6m +127%, vol ~79%/yr, 5y +40% (not over-extended)",10.3,-18%,13.5,10.3,2019-05-17,10.3,STOP_LOSS,"Stop-loss hit at 10; had peaked +8%, SL trailed to 10",-18.6
MINDTREE,2019-05-07,980.0,24,20.23,25.0,19.0,203.0,"Rank #24 of 300 by 6m-return/volatility | 6m +25%, vol ~19%/yr, 5y +203%",803.6,-18%,990.0,803.6,2019-06-07,969.5,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 970,-1.7
FLFL,2019-05-07,90.6,7,26.49,33.0,20.0,664.0,"Rank #7 of 300 by 6m-return/volatility | 6m +33%, vol ~20%/yr, 5y +664%",74.3,-18%,92.2,74.3,2019-06-07,83.9,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 84,-8.0
BANDHANBNK,2019-05-07,790.8,6,26.76,54.0,32.0,n/a,"Rank #6 of 300 by 6m-return/volatility | 6m +54%, vol ~32%/yr",648.4,-18%,843.1,648.4,2019-06-07,748.5,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 748,-5.9
PVR,2019-05-07,1780.1,25,19.65,33.0,27.0,228.0,"Rank #25 of 300 by 6m-return/volatility | 6m +33%, vol ~27%/yr, 5y +228%",1459.7,-18%,1830.0,1459.7,2019-06-07,1754.1,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1754,-2.1
63MOONS,2019-05-07,56.8,12,25.32,122.0,76.0,n/a,"Rank #12 of 300 by 6m-return/volatility | 6m +122%, vol ~76%/yr",46.6,-18%,62.9,46.6,2019-05-23,46.6,STOP_LOSS,"Stop-loss hit at 47; had peaked +11%, SL trailed to 47",-18.6
SHREECEM,2019-05-07,19766.6,4,33.35,46.0,22.0,256.0,"Rank #4 of 300 by 6m-return/volatility | 6m +46%, vol ~22%/yr, 5y +256%",16208.6,-18%,22080.0,16208.6,2019-06-07,20739.2,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 20739,4.3
UJJIVAN,2019-05-07,297.2,22,20.84,55.0,42.0,n/a,"Rank #22 of 300 by 6m-return/volatility | 6m +55%, vol ~42%/yr",243.7,-18% ->BE@+15%,355.0,297.2,2019-06-20,297.2,STOP_LOSS,"Stop-loss hit at 297; had peaked +19%, SL trailed to 297",-0.6
BAJAJFINSV,2019-05-07,746.3,5,29.65,40.0,22.0,869.0,"Rank #5 of 300 by 6m-return/volatility | 6m +40%, vol ~22%/yr, 5y +869%",612.0,-18%,846.8,612.0,2019-07-09,775.3,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 775,3.3
SUNTECK,2019-05-07,446.4,15,23.03,43.0,30.0,216.0,"Rank #15 of 300 by 6m-return/volatility | 6m +43%, vol ~30%/yr, 5y +216%",366.1,-18%,507.7,366.1,2019-07-31,366.1,STOP_LOSS,"Stop-loss hit at 366; had peaked +14%, SL trailed to 366",-18.6
AXISBANK,2019-05-07,717.6,16,22.17,32.0,23.0,140.0,"Rank #16 of 300 by 6m-return/volatility | 6m +32%, vol ~23%/yr, 5y +140% (not over-extended)",588.4,-18%,800.7,588.4,2019-08-08,638.5,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 639,-11.6
KOTAKBANK,2019-05-07,278.0,21,21.3,25.0,19.0,258.0,"Rank #21 of 300 by 6m-return/volatility | 6m +25%, vol ~19%/yr, 5y +258%",227.9,-18% ->BE@+15%,332.4,278.0,2019-10-17,316.8,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 317,13.3
CUB,2019-06-07,202.9,14,21.19,26.0,20.0,235.0,"Rank #14 of 310 by 6m-return/volatility | 6m +26%, vol ~20%/yr, 5y +235%",166.4,-18%,207.3,166.4,2019-07-09,187.7,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 188,-8.1
INOXLEISUR,2019-06-07,348.4,8,24.27,60.0,39.0,212.0,"Rank #8 of 310 by 6m-return/volatility | 6m +60%, vol ~39%/yr, 5y +212%",285.7,-18%,351.8,285.7,2019-07-09,318.3,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 318,-9.2
KALPATPOWR,2019-06-07,512.2,25,18.27,38.0,33.0,291.0,"Rank #25 of 310 by 6m-return/volatility | 6m +38%, vol ~33%/yr, 5y +291%",420.0,-18%,572.7,420.0,2019-07-09,500.7,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 501,-2.8
ICICIGI,2019-06-07,1191.7,12,22.04,39.0,28.0,n/a,"Rank #12 of 310 by 6m-return/volatility | 6m +39%, vol ~28%/yr",977.2,-18%,1236.8,977.2,2019-07-09,1075.4,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1075,-10.4
AAVAS,2019-06-07,1413.8,1,33.8,81.0,38.0,n/a,"Rank #1 of 310 by 6m-return/volatility | 6m +81%, vol ~38%/yr",1159.3,-18%,1563.5,1159.3,2019-08-08,1520.3,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1520,6.9
JKCEMENT,2019-06-07,980.3,13,21.42,44.0,32.0,313.0,"Rank #13 of 310 by 6m-return/volatility | 6m +44%, vol ~32%/yr, 5y +313%",803.9,-18%,1004.9,803.9,2019-08-08,931.2,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 931,-5.6
BAJFINANCE,2019-06-07,352.8,11,23.05,40.0,27.0,1595.0,"Rank #11 of 310 by 6m-return/volatility | 6m +40%, vol ~27%/yr, 5y +1595%",289.3,-18%,378.2,289.3,2019-08-08,335.2,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 335,-5.6
NIITTECH,2019-06-07,1277.5,16,20.85,20.0,15.0,229.0,"Rank #16 of 310 by 6m-return/volatility | 6m +20%, vol ~15%/yr, 5y +229%",1047.6,-18%,1311.9,1047.6,2019-08-08,1233.1,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1233,-4.1
BALRAMCHIN,2019-06-07,144.8,24,18.52,50.0,43.0,166.0,"Rank #24 of 310 by 6m-return/volatility | 6m +50%, vol ~43%/yr, 5y +166% (not over-extended)",118.7,-18%,156.8,118.7,2019-08-08,118.7,STOP_LOSS,"Stop-loss hit at 119; had peaked +8%, SL trailed to 119",-18.6
ADANIGAS,2019-06-07,169.9,20,20.2,74.0,58.0,n/a,"Rank #20 of 310 by 6m-return/volatility | 6m +74%, vol ~58%/yr",139.3,-18%,181.0,139.3,2019-08-30,139.3,STOP_LOSS,"Stop-loss hit at 139; had peaked +7%, SL trailed to 139",-18.6
SRF,2019-06-07,537.6,21,20.0,34.0,27.0,640.0,"Rank #21 of 310 by 6m-return/volatility | 6m +34%, vol ~27%/yr, 5y +640%",440.8,-18%,577.0,440.8,2019-09-13,518.7,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 519,-4.1
DCMSHRIRAM,2019-07-09,547.4,7,19.45,64.0,53.0,315.0,"Rank #7 of 273 by 6m-return/volatility | 6m +64%, vol ~53%/yr, 5y +315%",448.9,-18%,556.1,448.9,2019-07-24,448.9,STOP_LOSS,"Stop-loss hit at 449; had peaked +2%, SL trailed to 449",-18.6
DEEPAKNTR,2019-07-09,289.7,14,16.91,37.0,34.0,223.0,"Rank #14 of 273 by 6m-return/volatility | 6m +37%, vol ~34%/yr, 5y +223%",237.5,-18%,307.3,237.5,2019-08-08,273.6,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 274,-6.1
NAUKRI,2019-07-09,414.3,9,18.97,49.0,41.0,197.0,"Rank #9 of 273 by 6m-return/volatility | 6m +49%, vol ~41%/yr, 5y +197% (not over-extended)",339.7,-18%,436.0,339.7,2019-08-08,405.3,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 405,-2.8
RAMCOCEM,2019-07-09,778.9,21,15.73,24.0,24.0,154.0,"Rank #21 of 273 by 6m-return/volatility | 6m +24%, vol ~24%/yr, 5y +154% (not over-extended)",638.7,-18%,794.0,638.7,2019-09-13,741.8,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 742,-5.4
IPCALAB,2019-07-09,424.2,22,15.08,21.0,22.0,15.0,"Rank #22 of 273 by 6m-return/volatility | 6m +21%, vol ~22%/yr, 5y +15% (not over-extended)",347.8,-18%,447.7,347.8,2019-09-13,420.5,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 420,-1.5
SHREECEM,2019-07-09,21205.8,16,16.67,25.0,24.0,204.0,"Rank #16 of 273 by 6m-return/volatility | 6m +25%, vol ~24%/yr, 5y +204%",17388.7,-18%,21765.0,17388.7,2019-09-04,17388.7,STOP_LOSS,"Stop-loss hit at 17389; had peaked +3%, SL trailed to 17389",-18.6
JUSTDIAL,2019-07-09,781.8,2,22.69,68.0,47.0,-38.0,"Rank #2 of 273 by 6m-return/volatility | 6m +68%, vol ~47%/yr, 5y -38% (not over-extended)",641.1,-18%,782.4,641.1,2019-08-13,641.1,STOP_LOSS,"Stop-loss hit at 641; had peaked +0%, SL trailed to 641",-18.6
RNAM,2019-07-09,225.5,6,20.66,44.0,34.0,n/a,"Rank #6 of 273 by 6m-return/volatility | 6m +44%, vol ~34%/yr",184.9,-18% ->BE@+15%,289.0,225.5,2019-09-17,225.5,STOP_LOSS,"Stop-loss hit at 226; had peaked +28%, SL trailed to 226",-0.6
HDFCAMC,2019-07-09,940.3,18,16.06,28.0,28.0,n/a,"Rank #18 of 273 by 6m-return/volatility | 6m +28%, vol ~28%/yr",771.0,-18% ->BE@+15% ->20%-trail,1857.2,1485.8,2019-12-09,1485.8,STOP_LOSS,"Stop-loss hit at 1486; had peaked +98%, SL trailed to 1486",57.4
SBILIFE,2019-07-09,681.9,17,16.35,26.0,26.0,n/a,"Rank #17 of 273 by 6m-return/volatility | 6m +26%, vol ~26%/yr",559.1,-18% ->BE@+15% ->20%-trail,925.4,740.3,2020-01-23,885.8,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 886,29.3
RAJESHEXPO,2019-08-08,707.6,24,11.95,15.0,20.0,320.0,"Rank #24 of 260 by 6m-return/volatility | 6m +15%, vol ~20%/yr, 5y +320%",580.3,-18%,779.4,580.3,2019-09-13,693.8,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 694,-2.6
INTELLECT,2019-08-08,201.9,13,15.69,32.0,33.0,n/a,"Rank #13 of 260 by 6m-return/volatility | 6m +32%, vol ~33%/yr",165.6,-18%,214.2,165.6,2019-09-13,208.1,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 208,2.5
MUTHOOTFIN,2019-08-08,559.9,20,13.42,27.0,31.0,240.0,"Rank #20 of 260 by 6m-return/volatility | 6m +27%, vol ~31%/yr, 5y +240%",459.1,-18%,577.7,459.1,2019-09-13,527.6,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 528,-6.4
ICICIGI,2019-08-08,1200.2,11,16.54,36.0,34.0,n/a,"Rank #11 of 260 by 6m-return/volatility | 6m +36%, vol ~34%/yr",984.2,-18%,1284.6,984.2,2019-09-13,1135.3,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 1135,-6.0
ULTRACEMCO,2019-08-08,3956.5,19,13.82,23.0,26.0,70.0,"Rank #19 of 260 by 6m-return/volatility | 6m +23%, vol ~26%/yr, 5y +70% (not over-extended)",3244.3,-18%,4097.2,3244.3,2019-09-13,3767.7,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 3768,-5.4
ADANIPOWER,2019-08-08,7.6,21,13.2,51.0,61.0,6.0,"Rank #21 of 260 by 6m-return/volatility | 6m +51%, vol ~61%/yr, 5y +6% (not over-extended)",6.2,-18%,8.3,6.2,2019-09-13,8.2,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 8,7.1
PIDILITIND,2019-08-08,651.4,23,12.58,19.0,23.0,304.0,"Rank #23 of 260 by 6m-return/volatility | 6m +19%, vol ~23%/yr, 5y +304%",534.2,-18%,732.1,534.2,2019-10-17,665.3,RANK_DROP,Dropped out of top-25 (momentum faded); sold at close 665,1.5
