feature,importance
ret_1d,0.260182757225801
ret_5d,0.15760617248921366
consec_up,0.11243459140572522
close_vs_sma20,0.06687663723249321
ret_10d,0.05441721084106483
dist_high_22,0.04628395913436441
dist_high_66,0.03524227398178869
ret_22d,0.03432142316271612
close_strength_5,0.03246809903785175
range_tight_22,0.025563374171802596
dist_high_252,0.01632069831685728
vol_22,0.01425173647846214
atr14_pct,0.01291394845056776
close_vs_sma50,0.010150470058967673
range_pos_252,0.008115790027100946
vol_66,0.007413822869717332
up_frac_22,0.006917667040418505
updown_vol_22,0.006892925903344962
range_tight_66,0.006135611201212286
nr_ratio_10_60,0.0058607761260509195
dist_high_all,0.005238289800167006
deliv_updown_22,0.00520548939363279
vol_ratio,0.004634216699009528
sma50_slope,0.004547353137895127
ret_66d,0.004418830423268172
turnover_surge_raw,0.004048317174100664
vol_z_1d,0.003929109065039141
vol_pctile_252,0.003921423140845923
vol_dryup_5_22,0.003505640676570278
atr_contraction,0.0034323352202480207
dist_low_252,0.0031378124037742734
close_vs_sma200,0.00291431228113072
sma50_vs_sma200,0.0027840140196689167
gap_1d,0.002657718160131514
ret_252d,0.002455479575755845
ret_132d,0.0024318917502533445
log_price,0.0023000897893632856
vol_ratio_22_66,0.002038112273781928
trades_trend,0.0019178613341708345
deliv_per_pctile,0.0018144012600767791
deliv_val_trend,0.001665711980203698
deliv_per_22,0.001646096369961664
avg_trade_val_trend,0.0015577295450265505
deliv_trend,0.0015024573973653904
hist_len,0.0014814614441808064
deliv_qty_trend,0.0013473201039604105
deliv_per_s,0.0013326800181937795
big_deliv_days_10,0.000915164822173772
n_strong_deliv_22,0.0005461619841363513
new_high_22,0.000302573600392196
