rule,hit_ratio,lift,coverage,n_events_match,support_real,base_rate
ret_22d > 0.0801 AND deliv_qty_trend <= 1.477 AND range_tight_22 > 0.09548,0.7295224817009411,6.574219910276245,0.28023993787322926,10465,14345.0,0.11096715529102023
ret_22d <= 0.0801 AND vol_22 > 0.02327 AND ret_1d <= -0.03109,0.5459263103269331,4.919710781944421,0.1126851083201671,4208,7708.0,0.11096715529102023
ret_22d > 0.0801 AND deliv_qty_trend > 1.477 AND ret_10d > 0.07105,0.42163244867300953,3.7996148280745303,0.04509546635246231,1684,3994.0,0.11096715529102023
ret_22d <= 0.0801 AND vol_22 > 0.02327 AND ret_1d > -0.03109,0.2362924281984334,2.1293906974431995,0.17449053370109524,6516,27576.0,0.11096715529102023
ret_22d > 0.0801 AND deliv_qty_trend > 1.477 AND ret_10d <= 0.07105,0.18680693773102075,1.6834435130026053,0.03518731756955788,1314,7034.0,0.11096715529102023
ret_22d <= 0.0801 AND vol_22 <= 0.02327 AND ret_1d <= -0.0211,0.17995340125177028,1.6216816658931925,0.10548161636719064,3939,21889.0,0.11096715529102023
ret_22d <= 0.0801 AND vol_22 <= 0.02327 AND ret_1d > -0.0211,0.03493153672589708,0.31479167537715397,0.23589427737460836,8809,252179.0,0.11096715529102023
