feature,importance
ret_22d,0.15359335591898537
vol_22,0.09604035316749986
vol_66,0.08848724902051744
close_vs_sma20,0.0657710026994274
range_tight_22,0.05757382575948987
atr14_pct,0.0534146410203261
ret_10d,0.048966592110539685
ret_1d,0.04521995482413014
range_tight_66,0.039705980176403165
close_vs_sma50,0.03848339622538137
close_vs_sma200,0.03198203535030045
ret_5d,0.030965203649780507
deliv_qty_trend,0.020985638185431418
vol_ratio_22_66,0.020704794425507066
dist_low_252,0.01814715380986772
trades_trend,0.01799742034651863
deliv_per_22,0.016810501204659368
deliv_val_trend,0.0163662520378671
ret_132d,0.013445510189694945
n_strong_deliv_22,0.010424065955563359
sma50_slope,0.010260915223648227
dist_high_22,0.010130476447577565
ret_66d,0.009987789810872586
ret_252d,0.008708060412688939
deliv_per_s,0.007323211374461064
turnover_surge_raw,0.0071308122026599256
updown_vol_22,0.006622705381210166
sma50_vs_sma200,0.006146993067990774
vol_z_1d,0.005956398287134715
deliv_updown_22,0.005907351411242877
vol_dryup_5_22,0.0057287042094382535
dist_high_66,0.0048620993272796105
consec_up,0.003194513612717686
range_pos_252,0.0031687482832902375
vol_ratio,0.0026917979543133953
close_strength_5,0.0020514508593868393
avg_trade_val_trend,0.001998184992760286
hist_len,0.0019360516849036124
deliv_trend,0.0017814803672308178
vol_pctile_252,0.0014656102263644446
atr_contraction,0.0012507766823513422
dist_high_252,0.0011953644118810386
up_frac_22,0.0011636944772504174
dist_high_all,0.0008170339531713791
gap_1d,0.0008053964755822416
nr_ratio_10_60,0.0007898607796871242
big_deliv_days_10,0.0007009660490911354
deliv_per_pctile,0.00046490923549140676
log_price,0.0003544146175755394
new_high_22,0.0003193021028552253
